순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국.1,전국.2,서울,서울.1,장르,등급,영화구분,OTT,Netflix
473.0,크라임 101,바트 레이튼,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2026-04-08,개봉영화,장편,미국,208,"144,135,910","20,138","53,136,140","6,940",범죄,15세이상관람가,일반영화,Amazon Prime Video,False
475.0,주차금지,손현우,㈜영화사 주단,,"㈜영화사 주단,(주)플레이그램",2025-05-21,개봉영화,장편,한국,135,"149,176,450","19,970","39,438,700","5,495",스릴러,15세이상관람가,일반영화,TVING,False
476.0,극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,키쿠치 야스히토,,(주)애니플러스,(주)애니플러스,2023-02-02,개봉영화,장편,일본,123,"202,097,717","19,711","55,949,481","5,114",애니메이션,15세이상관람가,일반영화,"wavve, Watcha",False
477.0,타로,,"영화사 우상,주식회사 스튜디오 창창",,(주)영화특별시에스엠씨,2024-06-14,개봉영화,장편,한국,128,"179,752,600","19,529","81,885,800","8,229",공포(호러),청소년관람불가,일반영화,Netflix Standard with Ads,False
478.0,만천과해,천줘,,오드,오드,2024-07-03,개봉영화,장편,중국,95,"148,549,800","19,231","69,561,100","8,503",범죄,15세이상관람가,일반영화,"Netflix, Netflix Standard with Ads",True
481.0,청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,마스이 소이치,,(주)애니플러스,(주)애니플러스,2024-02-01,개봉영화,장편,일본,84,"180,312,331","19,156","68,000,191","6,630",애니메이션,12세이상관람가,일반영화,"wavve, Watcha, TVING",False
483.0,더 로즈: 완벽한 이혼,제이 로치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-09-17,개봉영화,장편,미국,171,"174,564,720","18,670","84,267,060","8,474",코미디,15세이상관람가,일반영화,Disney Plus,False
484.0,나는 여기에 있다,신근호,(주)미학인우주선,,와이드 릴리즈(주),2023-04-12,개봉영화,장편,한국,122,"143,076,700","18,504","28,697,800","3,457",범죄,15세이상관람가,일반영화,"wavve, Watcha, TVING",False
488.0,아기돼지 3형제: 도넛별 대모험,유위,,(주)히스토리필름,와이드 릴리즈(주),2025-09-04,개봉영화,장편,중국,281,"149,603,460","18,117","17,125,000","1,928",애니메이션,전체관람가,일반영화,TVING,False
492.0,코드: G 주목의 시작,"홍기선,김주신,김영기",엠씨에이,,"주식회사 케이티스튜디오지니,(주)영화특별시에스엠씨",2025-12-27,개봉영화,옴니버스,한국,39,"97,079,200","17,880","33,700,700","5,945",SF,15세이상관람가,일반영화,"Watcha, TVING",False
