순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
189,크리에이터,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-10-03,개봉영화,장편,미국,878,"2,710,714,272","256,803","892,118,530","79,300",SF,12세이상관람가,일반영화
190,옥수역귀신,정용기,"(주)영화사조아,(주)더프라이데이픽처스",,(주)스마일이엔티,2023-04-19,개봉영화,장편,한국,314,"2,741,672,100","256,196","508,562,300","47,121",공포(호러),15세이상관람가,일반영화
191,아임 히어로 더 파이널,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,씨지브이 아이스콘",2023-03-01,개봉영화,장편,한국,146,"6,059,713,000","250,702","2,165,754,000","88,949",공연,전체관람가,일반영화
192,하트맨,최원섭,"(주)무비락,(주)라이크엠컴퍼니",,롯데컬처웍스(주)롯데엔터테인먼트,2026-01-14,개봉영화,장편,한국,839,"2,305,660,270","247,887","544,721,240","55,701",코미디,12세이상관람가,일반영화
193,리볼버,오승욱,(주)사나이픽처스,,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-08-07,개봉영화,장편,한국,861,"2,307,565,653","246,583","700,950,566","69,624",범죄,15세이상관람가,일반영화
194,데드맨,하준원,"(주)팔레트픽처스,(주)사람엔터테인먼트",,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-02-07,개봉영화,장편,한국,800,"2,257,546,704","236,661","514,590,306","52,144",범죄,15세이상관람가,일반영화
195,프레디의 피자가게 2,엠마 타미,유니버설픽쳐스인터내셔널 코리아(유),,유니버설픽쳐스인터내셔널 코리아(유),2025-12-03,개봉영화,장편,미국,571,"2,324,341,770","236,471","352,235,180","33,977",공포(호러),12세이상관람가,일반영화
196,소울메이트,민용근,"클라이맥스 스튜디오(주),(주)앤드마크,(주)스튜디오앤뉴,(주)키이스트",,(주)넥스트엔터테인먼트월드(NEW),2023-03-15,개봉영화,장편,한국,749,"2,236,460,069","231,257","805,943,753","81,407",드라마,12세이상관람가,일반영화
197,메간,제라드 존스톤,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-01-25,개봉영화,장편,미국,704,"2,331,686,898","230,874","576,210,031","57,986",공포(호러),15세이상관람가,일반영화
198,나폴레옹,리들리 스콧,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-12-06,개봉영화,장편,미국,822,"2,250,902,673","227,354","792,670,034","76,593",전쟁,15세이상관람가,일반영화
199,"2024.12.03 그날 조작된 내란, 감춰진 진실",,,,루디아코프,2026-02-04,개봉영화,장편,한국,419,"2,085,974,620","212,395","575,320,380","57,207",다큐멘터리,12세이상관람가,일반영화
200,바빌론,데이미언 셔젤,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2023-02-01,개봉영화,장편,미국,852,"2,094,434,105","209,096","985,701,648","96,174",드라마,청소년관람불가,일반영화
201,극장판 주술회전: 회옥·옥절,고쇼조노 쇼타,,대원미디어(주),메가박스중앙(주),2025-10-16,개봉영화,장편,일본,742,"2,069,421,120","207,667","562,900,180","53,511",애니메이션,15세이상관람가,일반영화
202,베니스 유령 살인사건,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-09-13,개봉영화,장편,미국,876,"2,004,013,347","205,102","714,856,546","71,443",범죄,12세이상관람가,일반영화
203,사흘,현문섭,(주)아이필름코퍼레이션,,(주)쇼박스,2024-11-14,개봉영화,장편,한국,836,"1,878,697,640","200,490","431,077,120","44,946",공포(호러),15세이상관람가,일반영화
204,브로큰,김진황,"을지기획 주식회사,(주)사나이픽처스",,(주)바른손이앤에이,2025-02-05,개봉영화,장편,한국,818,"1,821,830,700","196,833","440,534,680","45,522",범죄,15세이상관람가,일반영화
205,멍뭉이,김주환,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",,(주)키다리스튜디오,2023-03-01,개봉영화,장편,한국,649,"1,812,783,386","194,391","547,069,576","56,292",드라마,전체관람가,일반영화
206,스머프,크리스 밀러,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2025-08-06,개봉영화,장편,미국,639,"1,697,789,430","192,553","277,693,610","29,094",애니메이션,전체관람가,일반영화
207,킬링 로맨스,이원석,"(주)영화사 이창,쇼트케이크(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2023-04-14,개봉영화,장편,한국,998,"1,832,316,642","191,542","715,774,760","73,330",코미디,15세이상관람가,일반영화
208,위키드: 포 굿,존 추,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-11-19,개봉영화,장편,미국,"1,700","1,872,152,810","190,885","972,422,880","95,659",판타지,전체관람가,일반영화
209,백설공주,마크 웹,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-03-19,개봉영화,장편,미국,"1,043","1,786,010,770","190,530","476,074,310","47,482",판타지,전체관람가,일반영화
210,더 폴: 디렉터스 컷,타셈 싱,,주식회사 오디언스,주식회사 오디언스,2024-12-25,개봉영화,장편,영국,89,"1,945,862,300","188,441","1,178,026,900","110,882",드라마,12세이상관람가,일반영화
211,헝거게임: 노래하는 새와 뱀의 발라드,프란시스 로렌스,,(주)누리픽쳐스,(주)누리픽쳐스,2023-11-15,개봉영화,장편,미국,986,"1,811,452,126","185,507","681,139,211","65,900",액션,15세이상관람가,일반영화
212,브레드이발소: 셀럽 인 베이커리타운,정지환,주식회사 브레드이발소,,롯데컬처웍스(주)롯데엔터테인먼트,2024-03-01,개봉영화,장편,한국,342,"1,556,568,690","183,479","269,713,920","30,533",애니메이션,전체관람가,일반영화
213,스턴트맨,데이빗 레이치,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-05-01,개봉영화,장편,미국,801,"1,878,120,062","181,191","732,343,891","66,632",액션,15세이상관람가,일반영화
214,오멘: 저주의 시작,아르카샤 스티븐슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-04-03,개봉영화,장편,미국,644,"1,857,073,182","180,448","543,257,823","51,952",공포(호러),15세이상관람가,일반영화
215,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,유야마 쿠니히코,,(주)포켓몬코리아,롯데컬처웍스(주)롯데엔터테인먼트,2025-01-22,개봉영화,장편,일본,667,"1,593,814,180","180,261","280,272,160","30,035",애니메이션,전체관람가,일반영화
216,트론: 아레스,요아킴 뢰닝,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-10-08,개봉영화,장편,미국,779,"1,899,878,820","172,267","653,344,990","53,959",SF,12세이상관람가,일반영화
217,퍼피 구조대: 더 마이티 무비,캘런 브런커,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-06,개봉영화,장편,미국,566,"1,535,164,736","169,416","268,531,853","28,455",애니메이션,전체관람가,일반영화
218,동화지만 청불입니다,이종석,"골드독엔터테인먼트(주),(주)기억속의매미",,"(주)미디어캔,(주)영화특별시에스엠씨",2025-01-08,개봉영화,장편,한국,668,"1,564,238,340","168,500","468,271,220","49,584",코미디,청소년관람불가,일반영화
219,가문의 영광: 리턴즈,"정태원,정용기",(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2023-09-21,개봉영화,장편,한국,823,"1,608,459,160","167,878","282,473,277","29,353",코미디,15세이상관람가,일반영화
220,플라워 킬링 문,마틴 스코세이지,,,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-19,개봉영화,장편,미국,719,"1,573,261,909","166,226","690,991,661","71,910",범죄,청소년관람불가,일반영화
221,마루이 비디오,윤준형,"(주)발포플랜,(주)브라더픽처스",,"씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",2023-02-22,개봉영화,장편,한국,284,"1,704,980,000","165,822","311,428,000","31,090",미스터리,15세이상관람가,일반영화
222,"그 시절, 우리가 좋아했던 소녀",조영명,"(주)영화사테이크,주식회사 자유로픽쳐스",,"(주)위지윅스튜디오,씨제이 씨지브이(CJ CGV)(주)",2025-02-21,개봉영화,장편,한국,709,"1,469,638,000","164,767","418,665,300","46,467",멜로/로맨스,12세이상관람가,일반영화
223,정보원,김석,팝콘필름㈜,,(주)영화특별시에스엠씨,2025-12-03,개봉영화,장편,한국,766,"1,431,084,750","159,282","336,402,200","35,896",코미디,15세이상관람가,일반영화
224,"포켓몬스터: 성도지방 이야기, 최종장",유야마 쿠니히코,,(주)포켓몬코리아,롯데컬처웍스(주)롯데엔터테인먼트,2024-05-01,개봉영화,장편,일본,710,"1,385,194,057","157,303","254,396,536","27,749",애니메이션,전체관람가,일반영화
225,나쁜 녀석들: 라이드 오어 다이,"아딜 엘 아르비,빌랄 팔라",,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2024-06-06,개봉영화,장편,미국,767,"1,397,863,780","141,758","388,744,424","37,691",액션,15세이상관람가,일반영화
226,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2023-09-28,개봉영화,장편,일본,601,"1,278,771,994","141,025","241,889,990","25,852",애니메이션,전체관람가,일반영화
227,프로젝트 Y,이환,"클라이맥스 스튜디오(주),주식회사 와우포인트",,메가박스중앙(주) 플러스엠 엔터테인먼트,2026-01-21,개봉영화,장편,한국,800,"1,374,381,060","140,808","450,798,490","43,474",범죄,15세이상관람가,일반영화
228,아가일,매튜 본,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-02-07,개봉영화,장편,미국,841,"1,422,200,957","138,902","556,245,257","51,412",액션,12세이상관람가,일반영화
229,첫사랑 엔딩,리우 유린,,(주)바이포엠스튜디오,(주)바이포엠스튜디오,2025-08-27,개봉영화,장편,중국,494,"1,342,856,760","138,470","320,721,880","32,261",멜로/로맨스,전체관람가,일반영화
230,극장판 슈퍼윙스: 맥시멈 스피드,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),2023-07-20,개봉영화,장편,한국,407,"1,192,070,958","135,976","220,161,255","24,155",애니메이션,전체관람가,일반영화
231,보호자,정우성,(주)영화사테이크,,(주)에이스메이커무비웍스,2023-08-15,개봉영화,장편,한국,685,"1,235,354,700","128,133","338,303,129","33,084",액션,15세이상관람가,일반영화
232,패딩턴: 페루에 가다!,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2025-02-19,개봉영화,장편,미국,228,"1,096,777,900","126,219","348,058,300","39,509",코미디,전체관람가,일반영화
233,두다다쿵: 후후섬의 비밀,"최병선,김지윤",아이스크림 스튜디오(주),,(주)넥스트엔터테인먼트월드(NEW),2023-02-15,개봉영화,장편,한국,514,"1,136,200,550","125,950","175,227,161","18,979",애니메이션,전체관람가,일반영화
234,메가로돈 2,벤 휘틀리,,워너브러더스 코리아(주),워너브러더스 코리아(주),2023-08-15,개봉영화,장편,미국,415,"1,314,843,169","125,935","296,787,380","27,283",액션,12세이상관람가,일반영화
235,패스트 라이브즈,셀린 송,,,(주)씨제이이엔엠,2024-03-06,개봉영화,장편,미국,613,"1,152,005,399","123,671","585,487,208","61,187",드라마,12세이상관람가,일반영화
236,필사의 추격,김재훈,"(주)콘텐츠지,TCO(주)더콘텐츠온",,TCO(주)더콘텐츠온,2024-08-21,개봉영화,장편,한국,634,"1,055,865,807","121,335","264,740,327","29,805",코미디,15세이상관람가,일반영화
237,나우 유 씨 미 3,루벤 플레셔,,롯데컬처웍스(주)롯데엔터테인먼트,"롯데컬처웍스(주)롯데엔터테인먼트,(주)바이포엠스튜디오",2025-11-12,개봉영화,장편,미국,"1,352","1,124,200,880","120,116","353,785,320","36,027",범죄,12세이상관람가,일반영화
238,그란 투리스모,,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-09-20,개봉영화,장편,미국,883,"1,193,485,239","119,510","408,505,240","39,721",액션,12세이상관람가,일반영화
239,말하고 싶은 비밀,,,(주)시그널픽쳐스,"(주)바이포엠스튜디오,홀리가든",2023-12-13,개봉영화,장편,일본,401,"1,121,475,015","118,928","300,248,803","30,907",멜로/로맨스,전체관람가,일반영화
240,만달로리안과 그로구,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2026-05-27,개봉영화,장편,미국,809,"1,423,444,590","116,720","586,673,580","43,904",액션,12세이상관람가,일반영화
241,비틀쥬스 비틀쥬스,팀 버튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-09-04,개봉영화,장편,미국,787,"1,145,904,006","115,966","481,563,699","46,730",코미디,12세이상관람가,일반영화
242,명탐정 코난 VS 괴도 키드,,,(주)씨제이이엔엠,(주)씨제이이엔엠,2024-06-05,개봉영화,장편,일본,295,"1,127,498,300","113,720","259,715,200","25,577",애니메이션,12세이상관람가,일반영화
243,에브리씽 에브리웨어 올 앳 원스+,"다니엘 콴,다니엘 쉐이너트",,(주)더쿱디스트리뷰션,워터홀컴퍼니(주),2023-03-01,개봉영화,장편,미국,199,"1,119,440,084","109,217","615,992,280","59,394",액션,15세이상관람가,일반영화
244,극장판 도라에몽: 진구의 그림이야기,테라모토 유키요,,대원미디어(주),롯데컬처웍스(주)롯데시네마,2025-07-16,개봉영화,장편,일본,204,"961,499,100","109,112","220,578,000","25,113",애니메이션,전체관람가,일반영화
245,이프: 상상의 친구,존 크래신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2024-05-15,개봉영화,장편,미국,658,"976,570,626","108,911","289,956,414","31,353",코미디,전체관람가,일반영화
246,캐리와 슈퍼콜라,"오성윤,이춘백",(주)캐리소프트,,롯데컬처웍스(주)롯데엔터테인먼트,2023-01-18,개봉영화,장편,한국,474,"1,004,792,719","108,487","158,701,544","16,509",애니메이션,전체관람가,일반영화
247,에어,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),2023-04-05,개봉영화,장편,미국,656,"1,045,708,581","108,405","455,321,632","46,207",드라마,15세이상관람가,일반영화
248,올빼미,안태진,(주)씨제스스튜디오,,(주)넥스트엔터테인먼트월드(NEW),2022-11-23,개봉영화,장편,한국,"1,541","1,091,352,574","106,780","408,628,951","39,675",스릴러,15세이상관람가,일반영화
249,괴기열차,탁세웅,(주)메이킹에이프린트,,(주)넥스트엔터테인먼트월드(NEW),2025-07-09,개봉영화,장편,한국,578,"980,057,850","105,618","195,269,150","20,214",공포(호러),15세이상관람가,일반영화
250,스트리밍,조장호,베리굿스튜디오(주),,롯데컬처웍스(주)롯데엔터테인먼트,2025-03-21,개봉영화,장편,한국,819,"1,010,579,120","104,505","311,294,500","31,001",스릴러,청소년관람불가,일반영화
251,극장판 도라에몽: 진구의 지구 교향곡,이마이 카즈아키,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2024-07-10,개봉영화,장편,일본,276,"859,486,300","102,788","178,707,600","22,021",애니메이션,전체관람가,일반영화
252,뉴 노멀,정범식,언파스튜디오,,(주)바이포엠스튜디오,2023-11-08,개봉영화,장편,한국,546,"973,948,873","101,636","308,364,559","31,582",스릴러,15세이상관람가,일반영화
253,귀신 부르는 앱: 영,,(주)하트피플,,(주)삼백상회,2026-02-18,개봉영화,장편,한국,190,"998,226,700","101,537","184,199,900","19,402",공포(호러),15세이상관람가,일반영화
254,비키퍼,데이비드 에이어,,(주)올스타엔터테인먼트,(주)바른손이앤에이,2024-04-03,개봉영화,장편,미국,713,"945,286,905","101,325","286,838,175","30,617",액션,청소년관람불가,일반영화
255,극장판 블루 록 -에피소드 나기-,이시카와 슌스케,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2024-08-21,개봉영화,장편,일본,276,"900,996,900","100,110","284,614,300","31,727",애니메이션,12세이상관람가,일반영화
256,개비의 매직하우스 극장판,라이언 크레고,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-10-03,개봉영화,장편,미국,434,"919,494,350","99,277","182,281,430","18,851",어드벤처,전체관람가,일반영화
257,극장판 도라에몽: 진구와 하늘의 유토피아,,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2023-07-08,개봉영화,장편,일본,283,"883,201,800","97,402","143,019,000","15,052",애니메이션,전체관람가,일반영화
258,아마추어,제임스 하위스,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-04-09,개봉영화,장편,미국,728,"905,461,350","96,448","314,295,570","32,758",액션,12세이상관람가,일반영화
259,명탐정 코난: 세기말의 마술사,코다마 켄지,,(주)씨제이이엔엠,(주)씨제이이엔엠,2026-03-27,개봉영화,장편,일본,252,"988,135,450","96,159","291,235,500","27,341",애니메이션,12세이상관람가,일반영화
260,화사한 그녀,이승준,"(주)신영이엔씨,(주)제이앤씨미디어그룹",,"(주)제이앤씨미디어그룹,주식회사 로아앤코홀딩스",2023-10-11,개봉영화,장편,한국,414,"888,872,900","96,146","232,519,400","24,701",코미디,12세이상관람가,일반영화
261,노 머시: 90분,티무르 베크맘베토브,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2026-02-04,개봉영화,장편,미국,595,"905,307,830","94,061","362,591,010","36,193",스릴러,15세이상관람가,일반영화
262,프랑켄슈타인 : 더 뮤지컬 라이브,박재석,(주)위즈온센,,"(주)위즈온센,메가박스중앙(주)",2025-09-18,개봉영화,장편,한국,176,"2,303,799,100","93,574","926,907,800","37,856",공연,15세이상관람가,일반영화
263,삼악도,채기준,㈜영화사 주단,,TCO(주)더콘텐츠온,2026-03-11,개봉영화,장편,한국,235,"862,203,700","93,253","191,684,450","22,017",미스터리,15세이상관람가,일반영화
264,방탄소년단: 옛 투 컴 인 시네마,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,씨제이 씨지브이(CJ CGV)(주)",2023-02-01,개봉영화,장편,한국,120,"2,031,919,000","92,369","1,062,559,500","48,306",공연,전체관람가,일반영화
265,끝장수사,박철환,"청년필름(주),주식회사 이안픽처스",,(주)에이스메이커무비웍스,2026-04-02,개봉영화,장편,한국,689,"833,408,120","90,763","168,213,750","18,092",범죄,15세이상관람가,일반영화
266,명탐정 코난: 17년 전의 진상,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,2025-09-19,개봉영화,장편,일본,271,"936,247,600","89,624","235,752,800","21,887",애니메이션,12세이상관람가,일반영화
267,아이엠스타!X프리파라 더 무비 -만남의 기적!-,오오카와 타카히로,,동우에이앤이(주),동우에이앤이(주),2026-02-04,개봉영화,장편,일본,130,"929,261,850","89,301","341,839,600","31,528",애니메이션,전체관람가,일반영화
268,챌린저스,루카 구아다니노,,"찬란,워너브러더스 코리아(주)","찬란,워너브러더스 코리아(주)",2024-04-24,개봉영화,장편,미국,458,"880,244,772","88,774","560,871,068","55,743",드라마,15세이상관람가,일반영화
269,더러운 돈에 손대지 마라,김민수,리양필름(주),,(주)에이스메이커무비웍스,2024-10-17,개봉영화,장편,한국,796,"814,106,280","88,272","181,884,350","18,822",범죄,15세이상관람가,일반영화
270,아이유 콘서트 : 더 골든 아워,,,,씨제이 씨지브이(CJ CGV)(주),2023-09-13,개봉영화,장편,한국,63,"2,050,388,000","87,628","920,565,000","39,102",공연,전체관람가,일반영화
271,스폰지밥 무비: 네모바지를 찾아서,데릭 드라이먼,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2026-01-01,개봉영화,장편,미국,505,"750,053,490","84,148","135,250,120","13,925",애니메이션,전체관람가,일반영화
272,명탐정 코난: 시한장치의 마천루,코다마 켄지,,(주)씨제이이엔엠,(주)씨제이이엔엠,2024-10-02,개봉영화,장편,일본,554,"786,643,290","83,105","174,962,450","17,907",애니메이션,12세이상관람가,일반영화
273,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,,,(주)애니플러스,(주)애니플러스,2025-05-29,개봉영화,장편,일본,167,"776,998,450","82,581","288,796,640","28,722",애니메이션,전체관람가,일반영화
274,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,,,(주)씨제이이엔엠,(주)씨제이이엔엠,2023-06-23,개봉영화,장편,일본,176,"849,594,700","81,475","221,477,700","20,894",애니메이션,12세이상관람가,일반영화
275,파벨만스,스티븐 스필버그,,(주)씨제이이엔엠,(주)씨제이이엔엠,2023-03-22,개봉영화,장편,미국,450,"814,957,157","80,767","462,207,739","45,287",드라마,12세이상관람가,일반영화
276,극장총집편 봇치 더 록! 전편,사이토 케이이치로,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2024-08-07,개봉영화,장편,일본,194,"820,248,500","80,614","268,391,300","26,145",애니메이션,12세이상관람가,일반영화
277,엑소시스트: 믿는 자,데이빗 고든 그린,유니버설픽쳐스인터내셔널 코리아(유),,유니버설픽쳐스인터내셔널 코리아(유),2023-10-18,개봉영화,장편,미국,630,"828,698,635","80,219","171,141,664","15,858",공포(호러),15세이상관람가,일반영화
278,네가 마지막으로 남긴 노래,미키 타카히로,,(주)미디어캐슬,"(주)넥스트엔터테인먼트월드(NEW),(주)팬엔터테인먼트",2026-04-01,개봉영화,장편,일본,593,"804,078,240","80,076","295,420,520","26,999",멜로/로맨스,12세이상관람가,일반영화
279,파이널 데스티네이션 블러드라인,"아담 B. 스테인,잭 리포브스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-05-14,개봉영화,장편,미국,515,"804,055,650","80,031","283,895,720","27,720",공포(호러),청소년관람불가,일반영화
280,웨폰,잭 크레거,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-10-15,개봉영화,장편,미국,568,"798,333,670","79,767","292,461,420","28,588",공포(호러),청소년관람불가,일반영화
281,악마들,김재훈,(주)콘텐츠지,,TCO(주)더콘텐츠온,2023-07-05,개봉영화,장편,한국,613,"798,202,273","79,688","171,214,593","16,709",액션,청소년관람불가,일반영화
282,명탐정 코난: 14번째 표적,코다마 켄지,,(주)씨제이이엔엠,(주)씨제이이엔엠,2025-02-14,개봉영화,장편,일본,587,"744,149,040","79,182","177,235,800","17,911",애니메이션,12세이상관람가,일반영화
283,씨너스: 죄인들,라이언 쿠글러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-05-28,개봉영화,장편,미국,610,"896,734,540","78,957","553,859,930","45,902",액션,청소년관람불가,일반영화
284,샤잠! 신들의 분노,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2023-03-15,개봉영화,장편,미국,799,"830,461,274","78,743","285,901,457","25,091",액션,12세이상관람가,일반영화
285,아이유 콘서트 : 더 위닝,"이예지,오윤동","씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,"씨지브이 아이스콘,씨제이포디플렉스 주식회사",2025-01-24,개봉영화,장편,한국,118,"2,076,626,500","75,872","1,028,198,500","37,663",공연,전체관람가,일반영화
286,직장상사 길들이기,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2026-01-28,개봉영화,장편,미국,661,"714,197,500","75,760","270,486,580","27,751",스릴러,15세이상관람가,일반영화
287,나의 히어로 아카데미아 더 무비: 유어 넥스트,오카무라 텐사이,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2024-11-20,개봉영화,장편,일본,177,"739,618,100","75,305","262,425,500","25,916",애니메이션,12세이상관람가,일반영화
288,신비아파트 극장판 차원도깨비와 7개의 세계,변영규,(주)씨제이이엔엠,,(주)씨제이이엔엠,2022-12-14,개봉영화,장편,한국,665,"708,846,095","75,109","86,626,606","9,063",애니메이션,전체관람가,일반영화
289,유미의 세포들 더 무비,,"(주)로커스,스튜디오엔(주)",,"씨제이 씨지브이(CJ CGV)(주),롯데컬처웍스(주)롯데시네마",2024-04-03,개봉영화,장편,한국,441,"589,527,900","73,531","193,153,050","24,611",애니메이션,전체관람가,일반영화
290,힘내라 대한민국,,㈜영화사 아리랑,,주식회사 킨스튜디오,2025-02-27,개봉영화,장편,한국,114,"669,149,760","73,093","235,140,800","25,283",다큐멘터리,12세이상관람가,일반영화
291,젠틀맨,김경원,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",,메가박스중앙(주) 플러스엠 엔터테인먼트,2022-12-28,개봉영화,장편,한국,751,"696,066,848","72,160","228,602,000","23,429",범죄,15세이상관람가,일반영화
292,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,오윤동,"씨제이포디플렉스 주식회사,스크린엑스 스튜디오",,씨제이포디플렉스 주식회사,2024-08-14,개봉영화,장편,한국,107,"1,785,890,500","71,448","812,405,000","32,508",공연,전체관람가,일반영화
293,드라이브,박동희,"(주)엠픽처스,(주)점프엔터테인먼트",,(주)메리크리스마스,2024-06-12,개봉영화,장편,한국,581,"640,624,109","71,194","196,843,701","22,136",스릴러,15세이상관람가,일반영화
294,닌자터틀: 뮤턴트 대소동,,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-14,개봉영화,장편,미국,650,"638,211,569","71,001","170,835,386","18,314",애니메이션,전체관람가,일반영화
295,시스터,진성문,(주)와인드업필름,,"주식회사 로아앤코홀딩스,씨지브이 픽처스",2026-01-28,개봉영화,장편,한국,650,"586,044,080","70,293","179,672,140","21,182",스릴러,15세이상관람가,일반영화
296,나쁜계집애: 달려라 하니,허정수,"(주)플레이칸,(주)스튜디오고인돌,(주)레드독컬처하우스",,(주)넥스트엔터테인먼트월드(NEW),2025-10-07,개봉영화,장편,한국,487,"631,144,230","69,670","187,555,500","19,637",애니메이션,전체관람가,일반영화
297,바이러스,강이관,더램프스튜디오(주),,(주)바이포엠스튜디오,2025-05-07,개봉영화,장편,한국,663,"610,906,960","68,537","191,887,900","20,210",드라마,12세이상관람가,일반영화
298,하우스메이드,폴 페이그,,(주)누리픽쳐스,(주)누리픽쳐스,2026-01-28,개봉영화,장편,미국,540,"633,234,990","68,333","282,194,260","29,829",스릴러,청소년관람불가,일반영화
299,귀시,홍원기,"(주)제리굿컴퍼니,쟈니브로스(주)",,"(주)바이포엠스튜디오,(주)제리굿컴퍼니",2025-09-17,개봉영화,장편,한국,621,"681,253,410","68,281","147,245,100","14,415",공포(호러),15세이상관람가,일반영화
300,도티와 영원의 탑,"배완,양희성,박인한",(주)샌드박스네트워크,,(주)넥스트엔터테인먼트월드(NEW),2023-12-27,개봉영화,장편,한국,370,"628,774,015","67,840","120,423,064","12,662",애니메이션,전체관람가,일반영화
301,햄넷,클로이 자오,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2026-02-25,개봉영화,장편,미국,381,"646,758,790","67,385","366,065,290","36,872",드라마,12세이상관람가,일반영화
302,너자 2,,,주식회사 콘텐츠존,"주식회사 콘텐츠존,(주)다자인소프트",2026-02-25,개봉영화,장편,중국,277,"546,339,650","66,134","172,484,800","19,588",애니메이션,12세이상관람가,일반영화
303,쏘우 X,케빈 그루터트,,(주)올스타엔터테인먼트,"(주)올스타엔터테인먼트,(주)플레이그램",2023-12-13,개봉영화,장편,미국,571,"679,602,885","65,130","205,764,524","19,469",공포(호러),청소년관람불가,일반영화
