순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
24,웡카,폴 킹,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-01-31,개봉영화,장편,미국,"1,753","33,956,553,189","3,531,468","9,833,219,001","981,614",판타지,전체관람가,일반영화
25,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,"2,809","47,350,863,697","3,491,916","13,294,368,157","909,353",액션,12세이상관람가,일반영화
26,군체,연상호,"주식회사 와우포인트,미드나잇스튜디오 주식회사",,(주)쇼박스,2026-05-21,개봉영화,장편,한국,"2,110","37,451,936,110","3,474,917","8,762,346,760","762,548",액션,15세이상관람가,일반영화
27,미션 임파서블: 파이널 레코닝,크리스토퍼 맥쿼리,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2025-05-17,개봉영화,장편,미국,"2,385","33,259,841,900","3,392,542","9,759,653,950","941,231",액션,15세이상관람가,일반영화
28,야당,황병국,(주)하이브미디어코프,,메가박스중앙(주) 플러스엠 엔터테인먼트,2025-04-16,개봉영화,장편,한국,"1,850","31,999,779,430","3,377,887","7,493,553,140","766,827",범죄,청소년관람불가,일반영화
29,오펜하이머,크리스토퍼 놀란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-08-15,개봉영화,장편,미국,"1,636","34,375,467,901","3,232,774","11,970,590,134","1,070,726",스릴러,15세이상관람가,일반영화
30,살목지,이상민,더램프스튜디오(주),,(주)쇼박스,2026-04-08,개봉영화,장편,한국,"1,463","33,185,910,000","3,227,421","7,205,217,670","666,146",공포(호러),15세이상관람가,일반영화
31,미키 17,봉준호,"플랜 비 엔터테인먼트,(주)오프스크린",,워너브러더스 코리아(주),2025-02-28,개봉영화,장편,미국,"2,153","29,706,604,100","3,013,500","10,448,596,080","1,010,337",어드벤처,15세이상관람가,일반영화
32,어쩔수가없다,박찬욱,"모호필름,씨제이이엔엠 스튜디오스 주식회사",,(주)씨제이이엔엠,2025-09-24,개봉영화,장편,한국,"2,114","28,768,679,430","2,942,758","8,824,380,030","855,486",스릴러,15세이상관람가,일반영화
33,프로젝트 헤일메리,필 로드,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2026-03-18,개봉영화,장편,미국,"1,337","32,825,127,990","2,894,053","12,964,866,500","1,065,856",SF,12세이상관람가,일반영화
34,극장판 체인소 맨: 레제편,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2025-09-24,개봉영화,장편,일본,"1,064","29,429,853,880","2,781,303","8,198,695,860","736,754",애니메이션,15세이상관람가,일반영화
35,만약에 우리,김도영,커버넌트픽처스(주),,(주)쇼박스,2025-12-31,개봉영화,장편,한국,961,"25,510,034,820","2,602,829","7,263,909,620","717,670",멜로/로맨스,15세이상관람가,일반영화
36,히트맨2,최원섭,"베리굿스튜디오(주),스튜디오타겟(주),슈퍼파워스튜디오 주식회사",,(주)바이포엠스튜디오,2025-01-22,개봉영화,장편,한국,"1,507","23,983,159,200","2,547,448","4,330,729,960","447,289",코미디,15세이상관람가,일반영화
37,탈주,이종필,더램프스튜디오(주),,메가박스중앙(주) 플러스엠 엔터테인먼트,2024-07-03,개봉영화,장편,한국,"1,234","24,102,444,596","2,547,035","5,683,783,805","575,613",액션,12세이상관람가,일반영화
38,보스,라희찬,(주)하이브미디어코프,,"(주)하이브미디어코프,(주)마인드마크",2025-10-03,개봉영화,장편,한국,"1,296","23,347,951,550","2,432,734","4,286,904,830","431,632",코미디,15세이상관람가,일반영화
39,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-04-26,개봉영화,장편,미국,"1,526","23,548,177,482","2,394,076","5,765,317,428","556,377",애니메이션,전체관람가,일반영화
40,위키드,존 추,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2024-11-20,개봉영화,장편,미국,"1,803","22,168,795,550","2,244,536","9,129,526,680","887,543",판타지,전체관람가,일반영화
41,쥬라기 월드: 새로운 시작,가렛 에드워즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2025-07-02,개봉영화,장편,미국,"1,645","21,205,076,760","2,224,611","5,181,193,090","517,657",어드벤처,12세이상관람가,일반영화
42,30일,남대중,(주)영화사울림,,(주)마인드마크,2023-10-03,개봉영화,장편,한국,"1,226","21,079,830,749","2,146,902","4,954,795,858","495,022",코미디,12세이상관람가,일반영화
43,승부,김형주,(주)영화사 월광,,(주)바이포엠스튜디오,2025-03-26,개봉영화,장편,한국,"1,773","20,042,357,660","2,146,284","5,433,771,180","560,398",드라마,12세이상관람가,일반영화
44,듄: 파트2,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2024-02-28,개봉영화,장편,미국,"1,544","23,639,319,949","2,016,202","9,741,110,013","761,213",액션,12세이상관람가,일반영화
45,에이리언: 로물루스,페데 알바레즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-08-14,개봉영화,장편,미국,"1,436","20,443,955,430","2,002,033","5,989,730,813","561,343",공포(호러),15세이상관람가,일반영화
46,휴민트,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2026-02-11,개봉영화,장편,한국,"1,520","19,983,573,360","1,980,978","5,243,342,790","490,850",액션,15세이상관람가,일반영화
47,데드풀과 울버린,숀 레비,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-07-24,개봉영화,장편,미국,"1,948","20,489,875,630","1,977,010","6,668,511,690","612,284",액션,청소년관람불가,일반영화
