영화명,영화명_영어,장르,개봉일,극장관객수,극장매출,Netflix,최고순위,TOP10유지일수,1위유지일수
뽀로로 극장판 슈퍼스타 대모험,Pororo: Popstar Adventure,애니메이션,2023-12-13,"387,485","3,532,753,203",False,0,0,0
살인자 리포트,Murderer Report,드라마,2025-09-05,"365,400","3,648,247,360",False,0,0,0
28년 후,28 Years Later,공포(호러),2025-06-19,"362,321","3,250,361,960",True,2,28,0
트랜스포머 ONE,Transformers One,애니메이션,2024-09-25,"360,891","3,368,873,455",False,0,0,0
상견니,Someday or One Day,드라마,2023-01-25,"360,873","3,608,720,638",False,0,0,0
임영웅│아임 히어로 더 스타디움,LIM YOUNG WOONG│IM HERO THE STADIUM,공연,2024-08-28,"357,858","10,117,142,500",True,2,147,0
도그데이즈,Dog Days,드라마,2024-02-07,"357,393","3,478,441,608",True,1,21,7
대가족,About Family,드라마,2024-12-11,"346,477","3,026,116,800",True,1,63,14
발레리나,Ballerina,액션,2025-08-06,"319,425","3,182,923,670",True,1,77,21
웅남이,Woongnami,코미디,2023-03-22,"314,152","2,867,713,071",False,0,0,0
거미집,Cobweb,코미디,2023-09-27,"313,686","3,003,379,576",True,2,14,0
1승,One Win,드라마,2024-12-04,"308,943","2,685,227,430",False,0,0,0
룩백,Look Back,애니메이션,2024-09-05,"299,096","2,872,719,878",False,0,0,0
극장판 스파이 패밀리 코드 : 화이트,SPY x FAMILY CODE: White,애니메이션,2024-03-20,"282,867","2,818,845,965",True,9,7,0
브레드이발소: 베이커리타운의 악당들,Bread Barbershop: The Bakerytown Baddies,애니메이션,2025-09-27,"282,480","2,494,627,600",True,2,21,0
넘버원,Number One,드라마,2026-02-11,"279,958","2,681,906,020",True,1,28,14
용감한 시민,Brave Citizen,액션,2023-10-25,"266,816","2,445,021,472",False,0,0,0
뽀로로 극장판 스위트캐슬 대모험,Pororo: Sweet Castle Adventure,애니메이션,2025-12-11,"265,505","2,301,821,710",False,0,0,0
화란,Hopeless,드라마,2023-10-11,"263,087","2,505,690,490",True,1,21,14
